id,principle,classification,mathematical_justification
P01,Objective native deformation,Necessary,"C -> Q^T C Q implies Phi(Q^T C Q)=Phi(C); isotropy reduces Phi to phi(I1,I2,I3). Finite-deformation objectivity is fixed by DEFORMATION-001 and excludes E01 as a complete law, while retaining its tangent."
P02,Invariant stored energy,Necessary,"Phi:D_SPD -> R,  S=2 dPhi/dC (up to the frozen stress convention). A single-valued conservative potential gives objective stress and path-independent recovery; fluid, plastic, damage and purely rate laws fail as complete sectors."
P03,Reference equilibrium and normalization,Necessary,"Phi(I)=0, D Phi(I)=0, and Phi(C)>Phi(I) locally for C != I. Otherwise the frozen reference carries residual constitutive force or is unstable."
P04,Differentiable stress response,Necessary,Phi in C^2(D_int); S=2D_C Phi and A=4D_C^2 Phi. BALANCE-001 needs stress and the frozen weak-field response needs its linearization; piecewise mechanisms require a smooth admissible branch.
P05,Positive weak-field tangent,Necessary,"delta C:A0:delta C > 0 for nonzero admissible delta C; A0=4D^2 Phi(I). It supplies local stability, finite real acoustic speeds after kinetic closure, and rules out negative-stiffness completion."
P06,Admissible-domain stability,Necessary,"inf_D Phi > -infinity; acoustic tensor a_i n_J A_iJkL n_L a_k > 0 on the propagation domain. A positive reference Hessian alone does not prevent finite-strain loss of ellipticity, as E02 and flexible spectral series demonstrate."
P07,Conservative recovery,Necessary,"Closed quasistatic paths satisfy integral S:dC=0; equilibrium minimization selects C=I. This is the common surviving content of elastic, hyperelastic, barrier and conservative interaction models."
P08,Spatial communication,Necessary,"rho q_tt + delta E/dq=0, with delta E/dq containing Div P, a gradient operator, or a symmetric nonlocal integral. Pointwise energy alone cannot propagate disturbances. Communication may enter through balance and need not be an intrinsic constitutive length."
P09,Weak-field wave support,Necessary,"rho omega^2 a=Q(n)a, Q positive on required polarizations. This requires inertia, P05 and P08 jointly; it is not implied by any one of them."
P10,Progressive elastic hardening,Conditional,"d^2/ds^2 Phi(C(s)) nondecreasing (with a path and tensor stability qualification). Polynomial, exponential and barrier families can supply it; neo-Hookean, Hencky and harmonic families show it is not required for recovery or waves."
P11,Coercive large-deformation growth,Conditional,"||C||+||C^-1|| -> infinity implies Phi(C)->infinity. Useful when global confinement is required, but local viable branches and finite-domain barriers need a different boundary statement."
P12,Finite extensibility / barrier,Optional,"C -> partial D_barrier implies Phi(C)->infinity. Gent, inverse-Langevin and chain analogies have it; polynomial and exponential hardening do not."
P13,Intrinsic gradient dependence,Optional,"E=int[Phi(C)+Psi(Grad C)]dV, with D^2 Psi >= 0. It regularizes short scales and produces dispersion but adds derivative order, boundary data and usually a length scale."
P14,Integral nonlocality,Optional,"E_nl=1/4 int int Delta C:K(x,y):Delta C dxdy, K=K^T >= 0. It is a distinct realization of communication; local balance and gradient interaction show it is not universal."
P15,Dissipation and rate dependence,Optional,"D>=0 and d(E+K)/dt=-D under closed boundaries. Kelvin-Voigt, standard-linear and visco-hyperelastic entries motivate it, but conservative models recover and propagate without it."
P16,Extra internal state or preferred structure,Incompatible,"Phi(C,z) with independently prescribed/evolved z is outside the authorized state unless z is derived from q or C. It changes ontology rather than instantiating the frozen constitutive slots."
P17,Irreversible complete response,Incompatible,D>0 on a closed cycle or C not returning after unloading contradicts P02/P07. Such effects may only be separately authorized downstream; they cannot replace conservative recovery.
P18,Pure fluid/no shear storage,Incompatible,"delta^2 Phi[dev(delta C),dev(delta C)]=0 contradicts P05 on required shear modes. Longitudinal sound alone is not the frozen constitutive target."
